# Assembly name:  ARS-UCD1.2
# Organism name:  Bos taurus (cattle)
# Infraspecific name:  breed=Hereford
# Isolate:  L1 Dominette 01449 registration number 42190680
# Sex:  female
# Taxid:          9913
# BioSample:      SAMN03145444
# BioProject:     PRJNA391427
# Submitter:      USDA ARS
# Date:           2018-04-11
# Synonyms:       bosTau9	
# Assembly type:  haploid
# Release type:   major
# Assembly level: Chromosome
# Genome representation: full
# WGS project:    NKLS02
# Assembly method: Falcon v. FEB-2016
# Expected final version: yes
# Excluded from RefSeq: contaminated
# Assembly anomaly: contaminated
# GenBank assembly accession: GCA_002263795.2
# RefSeq assembly accession: GCF_002263795.1
# RefSeq assembly and GenBank assemblies identical: no
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_002263805.2	GCF_002263805.1	Primary Assembly
## GCA_002263815.2	GCF_000001285.1	non-nuclear
#
# Ordered by chromosome/plasmid; the chromosomes/plasmids are followed by
# unlocalized scaffolds.
# Unplaced scaffolds are listed at the end.
# RefSeq is equal or derived from GenBank object.
#
# Sequence-Name	Sequence-Role	Assigned-Molecule	Assigned-Molecule-Location/Type	GenBank-Accn	Relationship	RefSeq-Accn	Assembly-Unit	Sequence-Length	UCSC-style-name
1	assembled-molecule	1	Chromosome	CM008168.2	=	NC_037328.1	Primary Assembly	158534110	chr1
2	assembled-molecule	2	Chromosome	CM008169.2	=	NC_037329.1	Primary Assembly	136231102	chr2
3	assembled-molecule	3	Chromosome	CM008170.2	=	NC_037330.1	Primary Assembly	121005158	chr3
4	assembled-molecule	4	Chromosome	CM008171.2	=	NC_037331.1	Primary Assembly	120000601	chr4
5	assembled-molecule	5	Chromosome	CM008172.2	=	NC_037332.1	Primary Assembly	120089316	chr5
6	assembled-molecule	6	Chromosome	CM008173.2	=	NC_037333.1	Primary Assembly	117806340	chr6
7	assembled-molecule	7	Chromosome	CM008174.2	=	NC_037334.1	Primary Assembly	110682743	chr7
8	assembled-molecule	8	Chromosome	CM008175.2	=	NC_037335.1	Primary Assembly	113319770	chr8
9	assembled-molecule	9	Chromosome	CM008176.2	=	NC_037336.1	Primary Assembly	105454467	chr9
10	assembled-molecule	10	Chromosome	CM008177.2	=	NC_037337.1	Primary Assembly	103308737	chr10
11	assembled-molecule	11	Chromosome	CM008178.2	=	NC_037338.1	Primary Assembly	106982474	chr11
12	assembled-molecule	12	Chromosome	CM008179.2	=	NC_037339.1	Primary Assembly	87216183	chr12
13	assembled-molecule	13	Chromosome	CM008180.2	=	NC_037340.1	Primary Assembly	83472345	chr13
14	assembled-molecule	14	Chromosome	CM008181.2	=	NC_037341.1	Primary Assembly	82403003	chr14
15	assembled-molecule	15	Chromosome	CM008182.2	=	NC_037342.1	Primary Assembly	85007780	chr15
16	assembled-molecule	16	Chromosome	CM008183.2	=	NC_037343.1	Primary Assembly	81013979	chr16
17	assembled-molecule	17	Chromosome	CM008184.2	=	NC_037344.1	Primary Assembly	73167244	chr17
18	assembled-molecule	18	Chromosome	CM008185.2	=	NC_037345.1	Primary Assembly	65820629	chr18
19	assembled-molecule	19	Chromosome	CM008186.2	=	NC_037346.1	Primary Assembly	63449741	chr19
20	assembled-molecule	20	Chromosome	CM008187.2	=	NC_037347.1	Primary Assembly	71974595	chr20
21	assembled-molecule	21	Chromosome	CM008188.2	=	NC_037348.1	Primary Assembly	69862954	chr21
22	assembled-molecule	22	Chromosome	CM008189.2	=	NC_037349.1	Primary Assembly	60773035	chr22
23	assembled-molecule	23	Chromosome	CM008190.2	=	NC_037350.1	Primary Assembly	52498615	chr23
24	assembled-molecule	24	Chromosome	CM008191.2	=	NC_037351.1	Primary Assembly	62317253	chr24
25	assembled-molecule	25	Chromosome	CM008192.2	=	NC_037352.1	Primary Assembly	42350435	chr25
26	assembled-molecule	26	Chromosome	CM008193.2	=	NC_037353.1	Primary Assembly	51992305	chr26
27	assembled-molecule	27	Chromosome	CM008194.2	=	NC_037354.1	Primary Assembly	45612108	chr27
28	assembled-molecule	28	Chromosome	CM008195.2	=	NC_037355.1	Primary Assembly	45940150	chr28
29	assembled-molecule	29	Chromosome	CM008196.2	=	NC_037356.1	Primary Assembly	51098607	chr29
X	assembled-molecule	X	Chromosome	CM008197.2	=	NC_037357.1	Primary Assembly	139009144	chrX
Leftover_ScbfJmS_1	unplaced-scaffold	na	na	NKLS02000031.1	=	NW_020190115.1	Primary Assembly	25561	chrUn_NW_020190115v1
Leftover_ScbfJmS_10	unplaced-scaffold	na	na	NKLS02000032.1	=	NW_020190116.1	Primary Assembly	5566	chrUn_NW_020190116v1
Leftover_ScbfJmS_100	unplaced-scaffold	na	na	NKLS02000033.1	=	NW_020190117.1	Primary Assembly	24335	chrUn_NW_020190117v1
Leftover_ScbfJmS_1000	unplaced-scaffold	na	na	NKLS02000034.1	=	NW_020190118.1	Primary Assembly	41467	chrUn_NW_020190118v1
Leftover_ScbfJmS_1002	unplaced-scaffold	na	na	NKLS02000035.1	=	NW_020190119.1	Primary Assembly	18927	chrUn_NW_020190119v1
Leftover_ScbfJmS_1003	unplaced-scaffold	na	na	NKLS02000036.1	=	NW_020190120.1	Primary Assembly	27676	chrUn_NW_020190120v1
Leftover_ScbfJmS_1004	unplaced-scaffold	na	na	NKLS02000037.1	=	NW_020190121.1	Primary Assembly	42294	chrUn_NW_020190121v1
Leftover_ScbfJmS_1005	unplaced-scaffold	na	na	NKLS02000038.1	=	NW_020190122.1	Primary Assembly	18221	chrUn_NW_020190122v1
Leftover_ScbfJmS_1006	unplaced-scaffold	na	na	NKLS02000039.1	=	NW_020190123.1	Primary Assembly	14088	chrUn_NW_020190123v1
Leftover_ScbfJmS_1007	unplaced-scaffold	na	na	NKLS02000040.1	=	NW_020190124.1	Primary Assembly	2151	chrUn_NW_020190124v1
Leftover_ScbfJmS_1008	unplaced-scaffold	na	na	NKLS02000041.1	=	NW_020190125.1	Primary Assembly	11734	chrUn_NW_020190125v1
Leftover_ScbfJmS_1009	unplaced-scaffold	na	na	NKLS02000042.1	=	NW_020190126.1	Primary Assembly	18859	chrUn_NW_020190126v1
Leftover_ScbfJmS_101	unplaced-scaffold	na	na	NKLS02000043.1	=	NW_020190127.1	Primary Assembly	6825	chrUn_NW_020190127v1
Leftover_ScbfJmS_1011	unplaced-scaffold	na	na	NKLS02000044.1	=	NW_020190128.1	Primary Assembly	15571	chrUn_NW_020190128v1
Leftover_ScbfJmS_1012	unplaced-scaffold	na	na	NKLS02000045.1	=	NW_020190129.1	Primary Assembly	4329	chrUn_NW_020190129v1
Leftover_ScbfJmS_1013_2105	unplaced-scaffold	na	na	NKLS02000046.1	=	NW_020190130.1	Primary Assembly	20736	chrUn_NW_020190130v1
Leftover_ScbfJmS_1014	unplaced-scaffold	na	na	NKLS02000047.1	=	NW_020190131.1	Primary Assembly	12939	chrUn_NW_020190131v1
Leftover_ScbfJmS_1015	unplaced-scaffold	na	na	NKLS02000048.1	=	NW_020190132.1	Primary Assembly	19755	chrUn_NW_020190132v1
Leftover_ScbfJmS_1016	unplaced-scaffold	na	na	NKLS02000049.1	=	NW_020190133.1	Primary Assembly	48004	chrUn_NW_020190133v1
Leftover_ScbfJmS_1018	unplaced-scaffold	na	na	NKLS02000050.1	=	NW_020190134.1	Primary Assembly	12768	chrUn_NW_020190134v1
Leftover_ScbfJmS_1019	unplaced-scaffold	na	na	NKLS02000051.1	=	NW_020190135.1	Primary Assembly	13811	chrUn_NW_020190135v1
Leftover_ScbfJmS_102	unplaced-scaffold	na	na	NKLS02000052.1	=	NW_020190136.1	Primary Assembly	36050	chrUn_NW_020190136v1
Leftover_ScbfJmS_1020	unplaced-scaffold	na	na	NKLS02000053.1	=	NW_020190137.1	Primary Assembly	41640	chrUn_NW_020190137v1
